25205,Jump Shot
10194,Jump Shot
4580,Layup Shot
15269,Driving Layup Shot
2859,Jump Shot
4035,Jump Shot
16548,Jump Shot
14354,Driving Layup Shot
28778,Jump Shot
1617,Jump Shot
28363,Layup Shot
24798,Jump Shot
27889,Jump Shot
3384,Jump Shot
19810,Jump Shot
22007,Jump Shot
27806,Layup Shot
13903,Jump Shot
11100,Jump Shot
14992,Jump Shot
2930,Jump Shot
18998,Jump Shot
21100,Jump Shot
19216,Jump Shot
7669,Jump Shot
15566,Driving Layup Shot
14794,Driving Layup Shot
26572,Jump Shot
2618,Jump Shot
12341,Jump Shot
7540,Jump Shot
15031,Jump Shot
734,Jump Shot
20826,Jump Shot
10526,Driving Layup Shot
11193,Jump Shot
22611,Jump Shot
25953,Jump Shot
25799,Jump Shot
16042,Jump Shot
3190,Jump Shot
6434,Jump Shot
17093,Jump Shot
24431,Layup Shot
12115,Jump Shot
5976,Jump Shot
11995,Jump Shot
2309,Jump Shot
30167,Jump Shot
23097,Layup Shot
1110,Jump Shot
29452,Jump Shot
12470,Jump Shot
13001,Jump Shot
28286,Layup Shot
3579,Jump Shot
23124,Jump Shot
4169,Jump Shot
22146,Jump Shot
2202,Jump Shot
3354,Driving Layup Shot
24413,Driving Layup Shot
6831,Jump Shot
13521,Jump Shot
11989,Jump Shot
8294,Jump Shot
19923,Jump Shot
2209,Jump Shot
11179,Layup Shot
29025,Jump Shot
2405,Jump Shot
10354,Jump Shot
15237,Jump Shot
29413,Jump Shot
26975,Jump Shot
29034,Jump Shot
24535,Jump Shot
20012,Jump Shot
14659,Jump Shot
7179,Jump Shot
30077,Layup Shot
13925,Jump Shot
6677,Jump Shot
24956,Jump Shot
13968,Jump Shot
18141,Jump Shot
2899,Jump Shot
16246,Jump Shot
19651,Jump Shot
14153,Jump Shot
18934,Jump Shot
6822,Jump Shot
6483,Layup Shot
1024,Layup Shot
10507,Jump Shot
3109,Jump Shot
3814,Jump Shot
6121,Jump Shot
30548,Jump Shot
12861,Layup Shot
17476,Layup Shot
5708,Jump Shot
7242,Jump Shot
